Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 25.00      0.09     0.09      490     0.18     0.59  MatrixCOO::mat_vec(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&)
 18.06      0.15     0.07 38945800     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
 15.28      0.21     0.06 29263600     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 11.11      0.25     0.04                             _init
  8.33      0.28     0.03 24304000     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  8.33      0.31     0.03 14602504     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  5.56      0.33     0.02      498     0.04     0.04  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, void>::__type std::__fill_a1<double*, double>(double*, double*, double const&)
  2.78      0.34     0.01     2460     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  2.78      0.35     0.01      978     0.01     0.01  __gnu_cxx::__alloc_traits<std::allocator<double>, double>::_S_propagate_on_copy_assign()
  2.78      0.36     0.01        1    10.00    10.09  Solver::init_source_term(double)
  0.00      0.36     0.00     4892     0.00     0.00  double* std::vector<double, std::allocator<double> >::_M_data_ptr<double>(double*) const
  0.00      0.36     0.00     4892     0.00     0.00  std::vector<double, std::allocator<double> >::data()
  0.00      0.36     0.00     4406     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      0.36     0.00     2938     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.36     0.00     1958     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator+(long) const
  0.00      0.36     0.00     1956     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00      0.36     0.00     1956     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.36     0.00     1956     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.36     0.00     1956     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.36     0.00     1956     0.00     0.00  double* std::__niter_base<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      0.36     0.00     1469     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00      0.36     0.00      994     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.36     0.00      979     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  0.00      0.36     0.00      978     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.00      0.36     0.00      978     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.00      0.36     0.00      978     0.00     0.00  std::vector<double, std::allocator<double> >::capacity() const
